id;course_name;pointer;jour;volume_horaire;salle;heure_de_debut;heure_de_fin;libelle_jour
1;Dollar Philippines Innovative;true;2022-03-18;68229;Directeur yellow;Soft;protocol;c
2;Assistant transition;false;2022-03-17;8097;generating deposit e-commerce;exuding Aquitaine Architecte;reboot des;Bretagne
3;Bedfordshire override EXE;true;2022-03-18;8975;Concrete Table Gorgeous;Gorgeous bandwidth;Dinar Games Kids;Small Saint-Denis invoice
4;convergence Bhoutan;false;2022-03-18;91381;Unit FTP;Avon Car;withdrawal;withdrawal motivating b
5;Licensed Basse-Normandie Stagiaire;true;2022-03-18;5466;Pula;Shoes matrices SMS;matrix;b pink
6;neural;true;2022-03-17;79248;JBOD Borders Kids;holistic Toys;bluetooth up;Account generating emulation
7;grey Pre-emptive capacitor;true;2022-03-17;15127;upward-trending Rubber web-readiness;orange Buckinghamshire;Molière;granular
8;full-range toolset;false;2022-03-18;50855;b Tasty Lanka;orchid Assistant;Lebanese a Metal;yellow salmon Cambridgeshire
9;Buckinghamshire e-business ability;false;2022-03-18;44060;payment Cambridgeshire Shoes;Refined CSS;protocol Movies primary;networks
10;blue Tuna;true;2022-03-18;10596;deposit;Corse even-keeled;application;Account
